,model,task,log_probs,example
0,slm,replace_bass_notes,-0.495045930147171,0
1,slm,replace_bass_notes,0.0,1
2,slm,replace_bass_notes,-0.20460297167301178,2
3,slm,replace_bass_notes,-0.16533654928207397,3
4,slm,replace_bass_notes,-0.24412690103054047,4
5,slm,replace_bass_notes,-0.13505637645721436,5
6,slm,replace_bass_notes,0.0,6
7,slm,replace_bass_notes,-0.12236685305833817,7
8,slm,replace_bass_notes,0.0,8
9,slm,replace_bass_notes,-0.04306090250611305,9
10,slm,replace_bass_notes,-0.15499098598957062,10
11,slm,replace_bass_notes,-0.30010759830474854,11
12,slm,replace_bass_notes,-0.16378715634346008,12
13,slm,replace_bass_notes,-0.24704089760780334,13
14,slm,replace_bass_notes,-0.5441716313362122,14
15,slm,replace_bass_notes,-0.20566917955875397,15
16,slm,replace_bass_notes,0.0,16
17,slm,replace_bass_notes,-0.1432386040687561,17
18,slm,replace_bass_notes,-0.018266726285219193,18
19,slm,replace_bass_notes,-0.0656077042222023,19
20,slm,replace_bass_notes,0.0,20
21,slm,replace_bass_notes,-0.06448303908109665,21
22,slm,replace_bass_notes,-0.086998350918293,22
23,slm,replace_bass_notes,-0.017094234004616737,23
24,slm,replace_bass_notes,-0.11307258158922195,24
25,slm,replace_bass_notes,-0.2066780924797058,25
26,slm,replace_bass_notes,-0.030071211978793144,26
27,slm,replace_bass_notes,0.0,27
28,slm,replace_bass_notes,-0.0849364623427391,28
29,slm,replace_bass_notes,-0.0464702770113945,29
30,slm,replace_bass_notes,0.0,30
31,slm,replace_bass_notes,0.0,31
32,slm,replace_bass_notes,-0.029797280207276344,32
33,slm,replace_bass_notes,-0.1265525221824646,33
34,slm,replace_bass_notes,-0.1425236314535141,34
35,slm,replace_bass_notes,0.0,35
36,slm,replace_bass_notes,-0.017954673618078232,36
37,slm,replace_bass_notes,-0.1703534573316574,37
38,slm,replace_bass_notes,-0.19713616371154785,38
39,slm,replace_bass_notes,0.0,39
40,slm,replace_bass_notes,-0.13640859723091125,40
41,slm,replace_bass_notes,0.0,41
42,slm,replace_bass_notes,-0.03869021683931351,42
43,slm,replace_bass_notes,-0.13544179499149323,43
44,slm,replace_bass_notes,-0.19706596434116364,44
45,slm,replace_bass_notes,0.0,45
46,slm,replace_bass_notes,-0.09136973321437836,46
47,slm,replace_bass_notes,-0.09382496774196625,47
48,slm,replace_bass_notes,0.0,48
49,slm,replace_bass_notes,-0.15334010124206543,49
50,slm,replace_pitches,-0.17539510130882263,0
51,slm,replace_pitches,-0.21095703542232513,1
52,slm,replace_pitches,-0.29915815591812134,2
53,slm,replace_pitches,-0.3576975166797638,3
54,slm,replace_pitches,-0.34697985649108887,4
55,slm,replace_pitches,-0.34052717685699463,5
56,slm,replace_pitches,-0.08295523375272751,6
57,slm,replace_pitches,-0.18011212348937988,7
58,slm,replace_pitches,-0.08758149296045303,8
59,slm,replace_pitches,-0.06641346216201782,9
60,slm,replace_pitches,-0.29477357864379883,10
61,slm,replace_pitches,-0.38754016160964966,11
62,slm,replace_pitches,-0.3755255341529846,12
63,slm,replace_pitches,-0.16056808829307556,13
64,slm,replace_pitches,-0.2659972608089447,14
65,slm,replace_pitches,-0.29356032609939575,15
66,slm,replace_pitches,-0.13600550591945648,16
67,slm,replace_pitches,-0.3412940502166748,17
68,slm,replace_pitches,-0.2081001251935959,18
69,slm,replace_pitches,-0.07910719513893127,19
70,slm,replace_pitches,-0.2116887867450714,20
71,slm,replace_pitches,-0.20900100469589233,21
72,slm,replace_pitches,-0.31304728984832764,22
73,slm,replace_pitches,-0.1287803202867508,23
74,slm,replace_pitches,-0.358521968126297,24
75,slm,replace_pitches,-0.1852104663848877,25
76,slm,replace_pitches,-0.10222971439361572,26
77,slm,replace_pitches,-0.12792515754699707,27
78,slm,replace_pitches,-0.3285980522632599,28
79,slm,replace_pitches,-0.09730590879917145,29
80,slm,replace_pitches,-0.20816609263420105,30
81,slm,replace_pitches,-0.23695145547389984,31
82,slm,replace_pitches,-0.14539304375648499,32
83,slm,replace_pitches,-0.2264847606420517,33
84,slm,replace_pitches,-0.4680565893650055,34
85,slm,replace_pitches,-0.2431737333536148,35
86,slm,replace_pitches,-0.2720502018928528,36
87,slm,replace_pitches,-0.3043819069862366,37
88,slm,replace_pitches,-0.29216840863227844,38
89,slm,replace_pitches,-0.08944553881883621,39
90,slm,replace_pitches,-0.49708321690559387,40
91,slm,replace_pitches,-0.29458120465278625,41
92,slm,replace_pitches,-0.15619425475597382,42
93,slm,replace_pitches,-0.31003695726394653,43
94,slm,replace_pitches,-0.17758890986442566,44
95,slm,replace_pitches,-0.10127413272857666,45
96,slm,replace_pitches,-0.29670676589012146,46
97,slm,replace_pitches,-0.22150403261184692,47
98,slm,replace_pitches,-0.21239067614078522,48
99,slm,replace_pitches,-0.24248448014259338,49
100,slm,replace_pitches_given_pitch_set,-0.1934375762939453,0
101,slm,replace_pitches_given_pitch_set,-0.15380807220935822,1
102,slm,replace_pitches_given_pitch_set,-0.3327840566635132,2
103,slm,replace_pitches_given_pitch_set,-0.5583905577659607,3
104,slm,replace_pitches_given_pitch_set,-0.3530358374118805,4
105,slm,replace_pitches_given_pitch_set,-0.36874234676361084,5
106,slm,replace_pitches_given_pitch_set,-0.09326396882534027,6
107,slm,replace_pitches_given_pitch_set,-0.20879773795604706,7
108,slm,replace_pitches_given_pitch_set,-0.1300261914730072,8
109,slm,replace_pitches_given_pitch_set,-0.06921353191137314,9
110,slm,replace_pitches_given_pitch_set,-0.42147600650787354,10
111,slm,replace_pitches_given_pitch_set,-0.288061261177063,11
112,slm,replace_pitches_given_pitch_set,-0.30301907658576965,12
113,slm,replace_pitches_given_pitch_set,-0.16602064669132233,13
114,slm,replace_pitches_given_pitch_set,-0.2910328805446625,14
115,slm,replace_pitches_given_pitch_set,-0.24518173933029175,15
116,slm,replace_pitches_given_pitch_set,-0.1326252967119217,16
117,slm,replace_pitches_given_pitch_set,-0.23580960929393768,17
118,slm,replace_pitches_given_pitch_set,-0.26621127128601074,18
119,slm,replace_pitches_given_pitch_set,-0.1005348488688469,19
120,slm,replace_pitches_given_pitch_set,-0.28932884335517883,20
121,slm,replace_pitches_given_pitch_set,-0.25407886505126953,21
122,slm,replace_pitches_given_pitch_set,-0.2522011995315552,22
123,slm,replace_pitches_given_pitch_set,-0.09500440955162048,23
124,slm,replace_pitches_given_pitch_set,-0.2974456250667572,24
125,slm,replace_pitches_given_pitch_set,-0.2127881944179535,25
126,slm,replace_pitches_given_pitch_set,-0.09279819577932358,26
127,slm,replace_pitches_given_pitch_set,-0.22459375858306885,27
128,slm,replace_pitches_given_pitch_set,-0.4499753713607788,28
129,slm,replace_pitches_given_pitch_set,-0.11563818156719208,29
130,slm,replace_pitches_given_pitch_set,-0.27273350954055786,30
131,slm,replace_pitches_given_pitch_set,-0.2161286473274231,31
132,slm,replace_pitches_given_pitch_set,-0.07903960347175598,32
133,slm,replace_pitches_given_pitch_set,-0.2616164982318878,33
134,slm,replace_pitches_given_pitch_set,-0.731806755065918,34
135,slm,replace_pitches_given_pitch_set,-0.29596614837646484,35
136,slm,replace_pitches_given_pitch_set,-0.17088092863559723,36
137,slm,replace_pitches_given_pitch_set,-0.2596895098686218,37
138,slm,replace_pitches_given_pitch_set,-0.2678886353969574,38
139,slm,replace_pitches_given_pitch_set,-0.058354701846838,39
140,slm,replace_pitches_given_pitch_set,-0.5539823770523071,40
141,slm,replace_pitches_given_pitch_set,-0.2517060935497284,41
142,slm,replace_pitches_given_pitch_set,-0.11452490091323853,42
143,slm,replace_pitches_given_pitch_set,-0.24387241899967194,43
144,slm,replace_pitches_given_pitch_set,-0.27008312940597534,44
145,slm,replace_pitches_given_pitch_set,-0.08099165558815002,45
146,slm,replace_pitches_given_pitch_set,-0.31171664595603943,46
147,slm,replace_pitches_given_pitch_set,-0.2208884060382843,47
148,slm,replace_pitches_given_pitch_set,-0.22618593275547028,48
149,slm,replace_pitches_given_pitch_set,-0.37764832377433777,49
150,slm,unconditional,-9.09432315826416,0
151,slm,unconditional,-9.719425201416016,1
152,slm,unconditional,-10.341933250427246,2
153,slm,unconditional,-8.493257522583008,3
154,slm,unconditional,-8.967421531677246,4
155,slm,unconditional,-8.923673629760742,5
156,slm,unconditional,-9.565196990966797,6
157,slm,unconditional,-9.41320514678955,7
158,slm,unconditional,-9.745516777038574,8
159,slm,unconditional,-9.628339767456055,9
160,slm,unconditional,-9.509913444519043,10
161,slm,unconditional,-8.250007629394531,11
162,slm,unconditional,-8.728802680969238,12
163,slm,unconditional,-9.86959457397461,13
164,slm,unconditional,-8.54353141784668,14
165,slm,unconditional,-9.229331016540527,15
166,slm,unconditional,-10.007770538330078,16
167,slm,unconditional,-10.255197525024414,17
168,slm,unconditional,-9.508370399475098,18
169,slm,unconditional,-9.577790260314941,19
170,slm,unconditional,-9.738600730895996,20
171,slm,unconditional,-9.187786102294922,21
172,slm,unconditional,-9.358026504516602,22
173,slm,unconditional,-9.923053741455078,23
174,slm,unconditional,-10.35720443725586,24
175,slm,unconditional,-9.725409507751465,25
176,slm,unconditional,-9.556548118591309,26
177,slm,unconditional,-9.644744873046875,27
178,slm,unconditional,-9.248656272888184,28
179,slm,unconditional,-9.690610885620117,29
180,slm,unconditional,-10.573904991149902,30
181,slm,unconditional,-9.636228561401367,31
182,slm,unconditional,-9.586597442626953,32
183,slm,unconditional,-9.178462982177734,33
184,slm,unconditional,-10.047223091125488,34
185,slm,unconditional,-9.237264633178711,35
186,slm,unconditional,-8.898061752319336,36
187,slm,unconditional,-11.408798217773438,37
188,slm,unconditional,-9.499025344848633,38
189,slm,unconditional,-9.626313209533691,39
190,slm,unconditional,-10.936076164245605,40
191,slm,unconditional,-8.879867553710938,41
192,slm,unconditional,-9.490167617797852,42
193,slm,unconditional,-8.914962768554688,43
194,slm,unconditional,-10.226369857788086,44
195,slm,unconditional,-9.740060806274414,45
196,slm,unconditional,-9.879104614257812,46
197,slm,unconditional,-8.696625709533691,47
198,slm,unconditional,-9.612110137939453,48
199,slm,unconditional,-9.84603500366211,49
200,mlm,replace_bass_notes,-0.3850388824939728,0
201,mlm,replace_bass_notes,0.0,1
202,mlm,replace_bass_notes,-0.19265775382518768,2
203,mlm,replace_bass_notes,-0.14587350189685822,3
204,mlm,replace_bass_notes,-0.16640815138816833,4
205,mlm,replace_bass_notes,-0.12599775195121765,5
206,mlm,replace_bass_notes,0.0,6
207,mlm,replace_bass_notes,-0.10586567968130112,7
208,mlm,replace_bass_notes,0.0,8
209,mlm,replace_bass_notes,-0.033680111169815063,9
210,mlm,replace_bass_notes,-0.1365920603275299,10
211,mlm,replace_bass_notes,-0.2956720292568207,11
212,mlm,replace_bass_notes,-0.18134862184524536,12
213,mlm,replace_bass_notes,-0.21609313786029816,13
214,mlm,replace_bass_notes,-0.4596763253211975,14
215,mlm,replace_bass_notes,-0.17785152792930603,15
216,mlm,replace_bass_notes,0.0,16
217,mlm,replace_bass_notes,-0.14467541873455048,17
218,mlm,replace_bass_notes,-0.01747254468500614,18
219,mlm,replace_bass_notes,-0.06382959336042404,19
220,mlm,replace_bass_notes,0.0,20
221,mlm,replace_bass_notes,-0.06685759127140045,21
222,mlm,replace_bass_notes,-0.07486466318368912,22
223,mlm,replace_bass_notes,-0.015784746035933495,23
224,mlm,replace_bass_notes,-0.12250421196222305,24
225,mlm,replace_bass_notes,-0.17788530886173248,25
226,mlm,replace_bass_notes,-0.026947511360049248,26
227,mlm,replace_bass_notes,0.0,27
228,mlm,replace_bass_notes,-0.08124929666519165,28
229,mlm,replace_bass_notes,-0.04501228779554367,29
230,mlm,replace_bass_notes,0.0,30
231,mlm,replace_bass_notes,0.0,31
232,mlm,replace_bass_notes,-0.035203296691179276,32
233,mlm,replace_bass_notes,-0.12821786105632782,33
234,mlm,replace_bass_notes,-0.13998724520206451,34
235,mlm,replace_bass_notes,0.0,35
236,mlm,replace_bass_notes,-0.014015709981322289,36
237,mlm,replace_bass_notes,-0.14938266575336456,37
238,mlm,replace_bass_notes,-0.1933552473783493,38
239,mlm,replace_bass_notes,0.0,39
240,mlm,replace_bass_notes,-0.1313459575176239,40
241,mlm,replace_bass_notes,0.0,41
242,mlm,replace_bass_notes,-0.03815824165940285,42
243,mlm,replace_bass_notes,-0.12147124856710434,43
244,mlm,replace_bass_notes,-0.2079838514328003,44
245,mlm,replace_bass_notes,0.0,45
246,mlm,replace_bass_notes,-0.09167330712080002,46
247,mlm,replace_bass_notes,-0.09118779748678207,47
248,mlm,replace_bass_notes,0.0,48
249,mlm,replace_bass_notes,-0.14729094505310059,49
250,mlm,replace_pitches,-0.1989685297012329,0
251,mlm,replace_pitches,-0.16301894187927246,1
252,mlm,replace_pitches,-0.28808873891830444,2
253,mlm,replace_pitches,-0.32387498021125793,3
254,mlm,replace_pitches,-0.30037200450897217,4
255,mlm,replace_pitches,-0.3104383945465088,5
256,mlm,replace_pitches,-0.07959440350532532,6
257,mlm,replace_pitches,-0.23603999614715576,7
258,mlm,replace_pitches,-0.11324466019868851,8
259,mlm,replace_pitches,-0.06078586354851723,9
260,mlm,replace_pitches,-0.31429794430732727,10
261,mlm,replace_pitches,-0.3525674343109131,11
262,mlm,replace_pitches,-0.36324453353881836,12
263,mlm,replace_pitches,-0.1702968329191208,13
264,mlm,replace_pitches,-0.2881391644477844,14
265,mlm,replace_pitches,-0.22113582491874695,15
266,mlm,replace_pitches,-0.1259590983390808,16
267,mlm,replace_pitches,-0.27290078997612,17
268,mlm,replace_pitches,-0.20311704277992249,18
269,mlm,replace_pitches,-0.08495540171861649,19
270,mlm,replace_pitches,-0.20389287173748016,20
271,mlm,replace_pitches,-0.18523427844047546,21
272,mlm,replace_pitches,-0.2668948173522949,22
273,mlm,replace_pitches,-0.12984180450439453,23
274,mlm,replace_pitches,-0.27242594957351685,24
275,mlm,replace_pitches,-0.15842926502227783,25
276,mlm,replace_pitches,-0.10711082816123962,26
277,mlm,replace_pitches,-0.12885631620883942,27
278,mlm,replace_pitches,-0.31747564673423767,28
279,mlm,replace_pitches,-0.10391250997781754,29
280,mlm,replace_pitches,-0.22623509168624878,30
281,mlm,replace_pitches,-0.18519078195095062,31
282,mlm,replace_pitches,-0.09841164201498032,32
283,mlm,replace_pitches,-0.22650346159934998,33
284,mlm,replace_pitches,-0.3811134099960327,34
285,mlm,replace_pitches,-0.24495622515678406,35
286,mlm,replace_pitches,-0.20937244594097137,36
287,mlm,replace_pitches,-0.3034482002258301,37
288,mlm,replace_pitches,-0.30217424035072327,38
289,mlm,replace_pitches,-0.06722471863031387,39
290,mlm,replace_pitches,-0.42205530405044556,40
291,mlm,replace_pitches,-0.21281571686267853,41
292,mlm,replace_pitches,-0.16257543861865997,42
293,mlm,replace_pitches,-0.35024988651275635,43
294,mlm,replace_pitches,-0.20949223637580872,44
295,mlm,replace_pitches,-0.11834859102964401,45
296,mlm,replace_pitches,-0.26352789998054504,46
297,mlm,replace_pitches,-0.2177302986383438,47
298,mlm,replace_pitches,-0.1532009392976761,48
299,mlm,replace_pitches,-0.25273779034614563,49
300,mlm,replace_pitches_given_pitch_set,-0.1202961876988411,0
301,mlm,replace_pitches_given_pitch_set,-0.12539497017860413,1
302,mlm,replace_pitches_given_pitch_set,-0.22395440936088562,2
303,mlm,replace_pitches_given_pitch_set,-0.240586057305336,3
304,mlm,replace_pitches_given_pitch_set,-0.1744510382413864,4
305,mlm,replace_pitches_given_pitch_set,-0.1828777939081192,5
306,mlm,replace_pitches_given_pitch_set,-0.061412811279296875,6
307,mlm,replace_pitches_given_pitch_set,-0.16518139839172363,7
308,mlm,replace_pitches_given_pitch_set,-0.07644785195589066,8
309,mlm,replace_pitches_given_pitch_set,-0.04220035299658775,9
310,mlm,replace_pitches_given_pitch_set,-0.18861480057239532,10
311,mlm,replace_pitches_given_pitch_set,-0.24307408928871155,11
312,mlm,replace_pitches_given_pitch_set,-0.17703679203987122,12
313,mlm,replace_pitches_given_pitch_set,-0.09540194272994995,13
314,mlm,replace_pitches_given_pitch_set,-0.2135031521320343,14
315,mlm,replace_pitches_given_pitch_set,-0.12819311022758484,15
316,mlm,replace_pitches_given_pitch_set,-0.08607212454080582,16
317,mlm,replace_pitches_given_pitch_set,-0.20177708566188812,17
318,mlm,replace_pitches_given_pitch_set,-0.11340721696615219,18
319,mlm,replace_pitches_given_pitch_set,-0.03353589028120041,19
320,mlm,replace_pitches_given_pitch_set,-0.11145903170108795,20
321,mlm,replace_pitches_given_pitch_set,-0.12984098494052887,21
322,mlm,replace_pitches_given_pitch_set,-0.1387351155281067,22
323,mlm,replace_pitches_given_pitch_set,-0.05623738095164299,23
324,mlm,replace_pitches_given_pitch_set,-0.17991472780704498,24
325,mlm,replace_pitches_given_pitch_set,-0.10226499289274216,25
326,mlm,replace_pitches_given_pitch_set,-0.07405608892440796,26
327,mlm,replace_pitches_given_pitch_set,-0.08777642995119095,27
328,mlm,replace_pitches_given_pitch_set,-0.25699758529663086,28
329,mlm,replace_pitches_given_pitch_set,-0.08008560538291931,29
330,mlm,replace_pitches_given_pitch_set,-0.16130751371383667,30
331,mlm,replace_pitches_given_pitch_set,-0.12972328066825867,31
332,mlm,replace_pitches_given_pitch_set,-0.04142379015684128,32
333,mlm,replace_pitches_given_pitch_set,-0.15187616646289825,33
334,mlm,replace_pitches_given_pitch_set,-0.2767070233821869,34
335,mlm,replace_pitches_given_pitch_set,-0.18900713324546814,35
336,mlm,replace_pitches_given_pitch_set,-0.11640860885381699,36
337,mlm,replace_pitches_given_pitch_set,-0.255781888961792,37
338,mlm,replace_pitches_given_pitch_set,-0.22482793033123016,38
339,mlm,replace_pitches_given_pitch_set,-0.05282435566186905,39
340,mlm,replace_pitches_given_pitch_set,-0.35799649357795715,40
341,mlm,replace_pitches_given_pitch_set,-0.15146873891353607,41
342,mlm,replace_pitches_given_pitch_set,-0.09935560077428818,42
343,mlm,replace_pitches_given_pitch_set,-0.2336769849061966,43
344,mlm,replace_pitches_given_pitch_set,-0.13544021546840668,44
345,mlm,replace_pitches_given_pitch_set,-0.06654758006334305,45
346,mlm,replace_pitches_given_pitch_set,-0.17755116522312164,46
347,mlm,replace_pitches_given_pitch_set,-0.16437795758247375,47
348,mlm,replace_pitches_given_pitch_set,-0.10852690041065216,48
349,mlm,replace_pitches_given_pitch_set,-0.21071146428585052,49
350,mlm,unconditional,-2.046776294708252,0
351,mlm,unconditional,-1.7894902229309082,1
352,mlm,unconditional,-3.103663921356201,2
353,mlm,unconditional,-3.3262271881103516,3
354,mlm,unconditional,-2.920464515686035,4
355,mlm,unconditional,-2.4595322608947754,5
356,mlm,unconditional,-1.2786892652511597,6
357,mlm,unconditional,-2.2075235843658447,7
358,mlm,unconditional,-1.4687283039093018,8
359,mlm,unconditional,-1.1808605194091797,9
360,mlm,unconditional,-2.7369024753570557,10
361,mlm,unconditional,-3.0217819213867188,11
362,mlm,unconditional,-2.916501998901367,12
363,mlm,unconditional,-2.054257392883301,13
364,mlm,unconditional,-2.487924337387085,14
365,mlm,unconditional,-2.414546012878418,15
366,mlm,unconditional,-1.6639193296432495,16
367,mlm,unconditional,-2.5494487285614014,17
368,mlm,unconditional,-2.0698225498199463,18
369,mlm,unconditional,-1.5006215572357178,19
370,mlm,unconditional,-2.131063938140869,20
371,mlm,unconditional,-2.27266526222229,21
372,mlm,unconditional,-2.6163814067840576,22
373,mlm,unconditional,-1.7756712436676025,23
374,mlm,unconditional,-2.5440597534179688,24
375,mlm,unconditional,-2.20760178565979,25
376,mlm,unconditional,-1.6121881008148193,26
377,mlm,unconditional,-1.5007874965667725,27
378,mlm,unconditional,-3.046619176864624,28
379,mlm,unconditional,-1.653128743171692,29
380,mlm,unconditional,-2.7344253063201904,30
381,mlm,unconditional,-2.0468335151672363,31
382,mlm,unconditional,-1.6498974561691284,32
383,mlm,unconditional,-2.4474740028381348,33
384,mlm,unconditional,-3.4230899810791016,34
385,mlm,unconditional,-2.4778900146484375,35
386,mlm,unconditional,-2.093858242034912,36
387,mlm,unconditional,-3.661238431930542,37
388,mlm,unconditional,-2.8949766159057617,38
389,mlm,unconditional,-1.2301828861236572,39
390,mlm,unconditional,-4.013088226318359,40
391,mlm,unconditional,-2.1327908039093018,41
392,mlm,unconditional,-1.6216868162155151,42
393,mlm,unconditional,-3.4065194129943848,43
394,mlm,unconditional,-2.700089693069458,44
395,mlm,unconditional,-1.531377911567688,45
396,mlm,unconditional,-2.2406868934631348,46
397,mlm,unconditional,-2.497880458831787,47
398,mlm,unconditional,-1.58457350730896,48
399,mlm,unconditional,-2.1278841495513916,49
400,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.4348033368587494,0
401,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,0.0,1
402,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.21030882000923157,2
403,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.14721031486988068,3
404,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.1689596325159073,4
405,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.13154752552509308,5
406,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,0.0,6
407,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.10274241864681244,7
408,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,0.0,8
409,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.041557736694812775,9
410,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.16301986575126648,10
411,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.2916218340396881,11
412,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.18249456584453583,12
413,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.23538564145565033,13
414,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.5468549132347107,14
415,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.1837039589881897,15
416,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,0.0,16
417,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.15633709728717804,17
418,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.016347065567970276,18
419,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.07047582417726517,19
420,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,0.0,20
421,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.06556176394224167,21
422,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.08031069487333298,22
423,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.01687198132276535,23
424,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.12718909978866577,24
425,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.19951961934566498,25
426,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.03541817143559456,26
427,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,0.0,27
428,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.08652856945991516,28
429,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.05003545060753822,29
430,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,0.0,30
431,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,0.0,31
432,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.042763855308294296,32
433,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.1367720514535904,33
434,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.1437789350748062,34
435,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,0.0,35
436,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.012614416889846325,36
437,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.16725945472717285,37
438,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.19543854892253876,38
439,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,0.0,39
440,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.1289883702993393,40
441,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,0.0,41
442,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.049994681030511856,42
443,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.11977320164442062,43
444,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.1915649175643921,44
445,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,0.0,45
446,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.09006980806589127,46
447,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.09300846606492996,47
448,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,0.0,48
449,slm_wo_enforce_constraint_in_fwd,replace_bass_notes,-0.18180924654006958,49
450,slm_wo_enforce_constraint_in_fwd,replace_pitches,-0.24841706454753876,0
451,slm_wo_enforce_constraint_in_fwd,replace_pitches,-0.1533513218164444,1
452,slm_wo_enforce_constraint_in_fwd,replace_pitches,-0.3093128502368927,2
453,slm_wo_enforce_constraint_in_fwd,replace_pitches,-0.3784852921962738,3
454,slm_wo_enforce_constraint_in_fwd,replace_pitches,-0.2751126289367676,4
455,slm_wo_enforce_constraint_in_fwd,replace_pitches,-0.31036505103111267,5
456,slm_wo_enforce_constraint_in_fwd,replace_pitches,-0.0855100229382515,6
457,slm_wo_enforce_constraint_in_fwd,replace_pitches,-0.1730969399213791,7
